Designators,Qty,Brand,Part Number
C1 ,1,TDK,C1608X8L1C105K080AC
C2 ,1,Yageo,CC0603JPX7R9BB104
C3 ,1,Taiyo Yuden,LMK107BBJ106KALT
J1 ,1,Hirose,FH12-6S-0.5SH(55)
R1 ,1,–,Do Not Place
U1 ,1,PixArt Imaging,PAT9125EL
