Designators,Qty,Brand,Part Number
C3 C4 ,2,Taiyo Yuden,LMK107BBJ106KALT
C5 C6 C1 C2 C7 ,5,Taiyo Yuden,UMK107BJ105KA-T
J1 ,1,Molex,200528-0040
R1 ,1,Yageo,AF0603FR-07330KL
R2 ,1,Yageo,RC0603FR-074K7L
U1 ,1,Enrich Electronics,ENH-OB00910003
